trajectory,step,metric,mean,delta_from_base,ci95_low,ci95_high,increased_items,n
base,300,current_no_features_entropy,1.1210656500115022,-0.08446568122801094,-0.09216933406627693,-0.07723288769844236,0,24
base,300,refreshed_reference_entropy_delta,0.16873358991512888,0.012104339838303177,0.0074059575407483,0.016595855371662895,19,24
base,300,refreshed_reference_entropy_delta_abs,0.26495570356125847,0.012370250911597111,0.009735971846373427,0.015027618219346678,24,24
base,300,preceding_reference_entropy_delta,0.18497037062687735,0.02834112055005164,0.02293752666345207,0.03390265252403339,24,24
base,300,preceding_reference_entropy_delta_abs,0.2697583964591492,0.017172943809487844,0.014087128039469,0.020436398959269735,24,24
base,300,attention_max_late_early_lift,1.311187573321165,0.0376968446574675,-0.397306391540244,0.36515457899126585,17,24
base,300,attention_mean_late_early_lift,1.3482657980232233,-0.07592409711216828,-0.5002626087518219,0.23877001890971158,17,24
base,400,attention_train3_max,0.09755487848907118,0.06485239548784927,0.05358078613244071,0.07702068766710564,24,24
base,400,attention_train3_mean,0.017339131038723126,0.011269516091446748,0.009056741120290483,0.013557592591779473,24,24
base,400,attention_last8_max,0.10688580615850457,0.05736120865388791,0.047578159458948124,0.06774525596966317,24,24
base,400,attention_last8_mean,0.01785954460794369,0.009394927883806187,0.007572394188573469,0.011259048334602274,24,24
base,400,attention_train3_max_lift,0.25662347765065013,0.17575119435918418,0.14854660709461545,0.20782032761028488,24,24
base,400,attention_train3_mean_lift,0.043338647665262374,0.028967099329006412,0.02524976109485596,0.03337315756020496,24,24
base,400,audio_entropy,0.9545347367778825,-0.09436734438480494,-0.10401175562941062,-0.08558285633820732,0,24
base,400,text_entropy,1.1323708376200474,-0.0823946593580963,-0.09161293464127096,-0.07333697994451187,0,24
base,400,entropy_delta,0.17783610084216503,0.011972685026708648,0.005716787615891545,0.01847216444117836,20,24
base,400,entropy_delta_abs,0.28262407221033115,0.012083020143473648,0.008248897530075848,0.016237781550857467,22,24
base,400,training_reference_entropy_delta_abs,0.3053929663922231,0.05280751374256178,0.043253630383133214,0.06218519882546263,24,24
base,400,audio_silence_logprob_delta,0.3502697237492316,0.021239655127368074,0.016029638932356698,0.026606947733824347,23,24
base,400,current_no_features_entropy,1.1236096671838434,-0.08192166405566967,-0.08979269318344556,-0.07426476275159213,0,24
base,400,refreshed_reference_entropy_delta,0.16907493040596097,0.012445680329135261,0.007903424927894878,0.016964700725444096,21,24
base,400,refreshed_reference_entropy_delta_abs,0.26438774940025195,0.01180229675059058,0.009093452517110908,0.014600781259328436,23,24
base,400,preceding_reference_entropy_delta,0.16653091323361974,0.009901663156794032,0.005450619508133533,0.01442682280773414,18,24
base,400,preceding_reference_entropy_delta_abs,0.26424515624609074,0.01165970359642939,0.008871085428868861,0.014394754255674387,22,24
base,400,attention_max_late_early_lift,1.3199017694588653,0.046411040795167426,-0.4121006767761671,0.39096231478049703,17,24
base,400,attention_mean_late_early_lift,1.3507024968582961,-0.07348739827709568,-0.5268683442910861,0.2575934397584172,18,24
base,500,attention_train3_max,0.09787129723223864,0.06516881423101674,0.053847480925639214,0.07733394966469172,24,24
base,500,attention_train3_mean,0.017393694293263318,0.011324079345986934,0.009107455814294875,0.01360353165549159,24,24
base,500,attention_last8_max,0.10711065287393053,0.05758605536931388,0.04778935502970672,0.06800763353777858,24,24
base,500,attention_last8_mean,0.01789136308534024,0.009426746361202732,0.007602708500767966,0.01129780971551401,24,24
base,500,attention_train3_max_lift,0.2579002066580982,0.17702792336663223,0.1493245716867027,0.2101482782894744,24,24
base,500,attention_train3_mean_lift,0.04356007019113121,0.02918852185487525,0.025375296714912156,0.03370657155140367,24,24
base,500,audio_entropy,0.9546656277779316,-0.09423645338475584,-0.10425984831518631,-0.08504262942356411,0,24
